Unnamed: 0,Title,Company,Location,Skills
0,Artificial Intelligence (AI),OmniNeura AI Technologies Pvt Ltd,Work from home,"python, machine learning, natural language processing (nlp)deep learning"
1,Technical Support,Tech Analogy,Ahmedabad,"matlabopen, cvsolid, works, client interaction, machine learning, technical support, client relationship"
2,Data Annotation,RoadVision AI Private Limited,South,"data interpretation, data annotation"
3,Data Science,Zoop Live,Delhi,"python, machine learning, data science, natural language processing (nlp)deep learning, artificial intelligence, num, py"
4,Data Science,Tradexa Technologies Private Limited,Pune,"python, sqlalgorithms, data structures, data analytics, statistical modeling, git"
5,Data Science,Emoolar Technology Private Limited,Work from home,"python, machine learning, data science, artificial intelligence"
6,Agentic RAG Tools And Applications Development,FrugalX (Frugal Explorations Foundation),Work from home,"java, script, type, script"
7,Data Science,Mindenious Edutech,Work from home,"python, sqldata analytics, machine learning, data science, deep learning"
8,Artificial Intelligence For Biotech For Climate (A4B4C),Energy Alternatives India,Chennai,"biology, machine learning, bioinformatics, microbiological techniques, neural networks, business research, artificial intelligence"
9,Full Stack Development,NDL Power Limited,Work from home,"python, asp.netmachine learning, node.js, ms sql server, automation, react"
11,Data Science,"Mekari (Jakarta, Indonesia)",Work from home,"python, sqldata analytics, machine learning, data entry, data science, natural language processing (nlp)"
12,Devops Engineer,Techdome Solutions Private Limited,"Indore, Hyderabad","linux, machine learning, jenkins, ansible, kubernetes, ci/cdterraform"
13,"Producers Assistant Residency Program: Founders Office - Research, Development And Operations (Hollywood Film)",Continuum Media,Mumbai,"ms-office, content writing, python, adobe illustrator, sqladobe creative suite, machine learning"
14,Technical Content Curation,Tech Analogy,Ahmedabad,"content writing, open, cvpython, solid, works, arm microcontroller, robotics, search engine optimization (seo)"
15,Android App Development,Practice Buzz,Chandigarh,"python, git, machine learning, jsongit, hub, computer vision, rest api"
16,Python Development,Jorim Technology Solutions Private Limited,Chennai (Hybrid),"python, django, machine learning, rest apiflask"
17,Machine Learning,Zdminds,Work from home,"python, data analytics, machine learning, r programming, data science, natural language processing (nlp)deep learning"
18,Machine Learning,CareerNest,Work from home,"python, machine learning, data science"
19,Python Development,Zdminds,Work from home,"htmlcsspython, django, machine learning, rest apiflask"
