,Unnamed: 0,Title,Company,Location,Skills
0,0,Artificial Intelligence (AI),OmniNeura AI Technologies Pvt Ltd,Work from home,"python, machine learning, natural language processing (nlp)deep learning"
1,1,Technical Support,Tech Analogy,Ahmedabad,"matlabopen, cvsolid, works, client interaction, machine learning, technical support, client relationship"
2,2,Data Annotation,RoadVision AI Private Limited,South,"data interpretation, data annotation"
3,3,Data Science,Zoop Live,Delhi,"python, machine learning, data science, natural language processing (nlp)deep learning, artificial intelligence, num, py"
4,4,Data Science,Tradexa Technologies Private Limited,Pune,"python, sqlalgorithms, data structures, data analytics, statistical modeling, git"
5,5,Data Science,Emoolar Technology Private Limited,Work from home,"python, machine learning, data science, artificial intelligence"
6,6,Agentic RAG Tools And Applications Development,FrugalX (Frugal Explorations Foundation),Work from home,"java, script, type, script"
7,7,Data Science,Mindenious Edutech,Work from home,"python, sqldata analytics, machine learning, data science, deep learning"
8,8,Artificial Intelligence For Biotech For Climate (A4B4C),Energy Alternatives India,Chennai,"biology, machine learning, bioinformatics, microbiological techniques, neural networks, business research, artificial intelligence"
9,9,Full Stack Development,NDL Power Limited,Work from home,"python, asp.netmachine learning, node.js, ms sql server, automation, react"
10,11,Data Science,"Mekari (Jakarta, Indonesia)",Work from home,"python, sqldata analytics, machine learning, data entry, data science, natural language processing (nlp)"
11,12,Devops Engineer,Techdome Solutions Private Limited,"Indore, Hyderabad","linux, machine learning, jenkins, ansible, kubernetes, ci/cdterraform"
12,13,"Producers Assistant Residency Program: Founders Office - Research, Development And Operations (Hollywood Film)",Continuum Media,Mumbai,"ms-office, content writing, python, adobe illustrator, sqladobe creative suite, machine learning"
13,14,Technical Content Curation,Tech Analogy,Ahmedabad,"content writing, open, cvpython, solid, works, arm microcontroller, robotics, search engine optimization (seo)"
14,15,Android App Development,Practice Buzz,Chandigarh,"python, git, machine learning, jsongit, hub, computer vision, rest api"
15,16,Python Development,Jorim Technology Solutions Private Limited,Chennai (Hybrid),"python, django, machine learning, rest apiflask"
16,17,Machine Learning,Zdminds,Work from home,"python, data analytics, machine learning, r programming, data science, natural language processing (nlp)deep learning"
17,18,Machine Learning,CareerNest,Work from home,"python, machine learning, data science"
18,19,Python Development,Zdminds,Work from home,"htmlcsspython, django, machine learning, rest apiflask"
19,20,Data Analytics,Zdminds,Work from home,"python, sqldata analytics, ms-excel, data science, power bitableau"
20,21,AI Agent Development,On Demand Experts,Work from home,"python, llmops, llm evaluation"
21,22,Data Science,CareerNest,Work from home,"python, data analytics, machine learning, data science, natural language processing (nlp)deep learning, artificial intelligence"
22,23,Python Development,Treviax.in,Work from home,"htmlcsspython, django, machine learning, rest apiflask"
23,24,Machine Learning,Treviax.in,Work from home,"python, data analytics, machine learning, data science, natural language processing (nlp)deep learning, artificial intelligence"
24,25,Data Science,Zdminds,Work from home,"python, sqldata analytics, machine learning, data science, natural language processing (nlp)"
25,26,Artificial Intelligence (AI),Zdminds,Work from home,"python, data structures, machine learning, data science, neural networks, natural language processing (nlp)deep learning"
26,27,Python Development,Mindenious Edutech,Work from home,"htmlcsspython, machine learning"
27,28,Artificial Intelligence (AI),Stirring Minds,"Delhi, Gurgaon, Noida(Hybrid)","python, data structures, machine learning, data science, neural networks, natural language processing (nlp)deep learning"
28,29,AI Engineer,Clientcarex AI Private Limited,Hyderabad,"problem solving, research and analytics, report generation, self-learning, generative ai tools, chat, gpt"
29,30,AI For Climate Tech,Energy Alternatives India,Chennai,"biology, machine learning, bioinformatics, microbiological techniques, neural networks, business research, artificial intelligence"
30,31,Instructional Designer,Kalvium,Bangalore,"data structures, machine learning, data science, computer architecture, operating systems, cybersecurity, generative ai tools"
31,32,Artificial Intelligence (AI),Zoxima Solutions Private Limited,Work from home,"artificial intelligence, lang, chain"
32,33,Machine Learning,Vaibhav Wakade,"Pune, Ahmednagar, Nashik (Hybrid)","java, script, python, data analytics, automation, natural language processing (nlp)deep learning, blockchain"
33,34,Artificial Intelligence (AI),Across The Globe (ATG),Work from home,"python, data structures, machine learning, computer vision, data science, neural networks, natural language processing (nlp)"
34,35,AI Engineer,Entrepreneur Growth Lab (OPC) Private Limited,Work from home,"java, java, script, python, algorithms, machine learning, automation, rest api"
35,36,AI/ML Python,Tellis Technologies Private Limited,Work from home,"java, script, python, machine learning, artificial intelligence, mern"
36,37,Artificial Intelligence (AI),Stirring Minds,Work from home,"python, sqldata structures, machine learning, data science, neural networks, rtos"
37,38,Software Engineering- AI Agent Integration Team,EmergentLabs,Bangalore,"python, problem solving, artificial intelligence, apis, debugging, prompt engineering"
38,39,Python Development,Scoreazy Edutech Private Limited,Work from home,"python, rest apifast, apiopen, ai apistreamlit, prompt engineering"
39,40,Quant Developer,QuantGlobal,"Delhi, Noida","python, finance, mongo, dbmachine learning, financial modeling, statistics, c++ programming"
40,41,AI Engineer,Sameer Khatri,Bangalore(Hybrid),"python, machine learning, amazon web services (aws)natural language processing (nlp)artificial intelligence, generative ai tools, llmops"
