,Title,Company,Location,Skills
0,Artificial Intelligence (AI),OmniNeura AI Technologies Pvt Ltd,Work from home,PythonMachine LearningNatural Language Processing (NLP)Deep Learning
1,Technical Support,Tech Analogy,Ahmedabad,MATLABOpenCVSolidWorksClient InteractionMachine LearningTechnical SupportClient Relationship+4 more
2,Data Annotation,RoadVision AI Private Limited,South,Data InterpretationData Annotation
3,Data Science,Zoop Live,Delhi,PythonMachine LearningData ScienceNatural Language Processing (NLP)Deep LearningArtificial intelligenceNumPy+1 more
4,Data Science,Tradexa Technologies Private Limited,Pune,PythonSQLAlgorithmsData StructuresData AnalyticsStatistical ModelingGit+2 more
5,Data Science,Emoolar Technology Private Limited,Work from home,PythonMachine LearningData ScienceArtificial intelligence
6,Agentic RAG Tools And Applications Development,FrugalX (Frugal Explorations Foundation),Work from home,JavaScriptTypeScript
7,Data Science,Mindenious Edutech,Work from home,PythonSQLData AnalyticsMachine LearningData ScienceDeep Learning
8,Artificial Intelligence For Biotech For Climate (A4B4C),Energy Alternatives India,Chennai,BiologyMachine LearningBioinformaticsMicrobiological TechniquesNeural NetworksBusiness ResearchArtificial intelligence+1 more
9,Full Stack Development,NDL Power Limited,Work from home,PythonASP.NETMachine LearningNode.jsMS SQL ServerAutomationReact+5 more
11,Data Science,"Mekari (Jakarta, Indonesia)",Work from home,PythonSQLData AnalyticsMachine LearningData entryData ScienceNatural Language Processing (NLP)+4 more
12,Devops Engineer,Techdome Solutions Private Limited,"Indore, Hyderabad",LinuxMachine LearningJenkinsAnsibleKubernetesCI/CDTerraform+3 more
13,"Producers Assistant Residency Program: Founders Office - Research, Development And Operations (Hollywood Film)",Continuum Media,Mumbai,MS-OfficeContent WritingPythonAdobe IllustratorSQLAdobe Creative SuiteMachine Learning+7 more
14,Technical Content Curation,Tech Analogy,Ahmedabad,Content WritingOpenCVPythonSolidWorksARM MicrocontrollerRoboticsSearch Engine Optimization (SEO)+9 more
15,Android App Development,Practice Buzz,Chandigarh,PythonGitMachine LearningJSONGitHubComputer VisionREST API+4 more
16,Python Development,Jorim Technology Solutions Private Limited,Chennai                                                                (Hybrid),PythonDjangoMachine LearningREST APIFlask
17,Machine Learning,Zdminds,Work from home,PythonData AnalyticsMachine LearningR ProgrammingData ScienceNatural Language Processing (NLP)Deep Learning+1 more
18,Machine Learning,CareerNest,Work from home,PythonMachine LearningData Science
19,Python Development,Zdminds,Work from home,HTMLCSSPythonDjangoMachine LearningREST APIFlask
20,Data Analytics,Zdminds,Work from home,PythonSQLData AnalyticsMS-ExcelData SciencePower BITableau
21,AI Agent Development,On Demand Experts,Work from home,PythonLLMOpsLLM evaluation
22,Data Science,CareerNest,Work from home,PythonData AnalyticsMachine LearningData ScienceNatural Language Processing (NLP)Deep LearningArtificial intelligence
23,Python Development,Treviax.in,Work from home,HTMLCSSPythonDjangoMachine LearningREST APIFlask
24,Machine Learning,Treviax.in,Work from home,PythonData AnalyticsMachine LearningData ScienceNatural Language Processing (NLP)Deep LearningArtificial intelligence
25,Data Science,Zdminds,Work from home,PythonSQLData AnalyticsMachine LearningData ScienceNatural Language Processing (NLP)
26,Artificial Intelligence (AI),Zdminds,Work from home,PythonData StructuresMachine LearningData ScienceNeural NetworksNatural Language Processing (NLP)Deep Learning
27,Python Development,Mindenious Edutech,Work from home,HTMLCSSPythonMachine Learning
