Unnamed: 0,Title,Company,Location,Skills
0.0,Artificial Intelligence (AI),OmniNeura AI Technologies Pvt Ltd,Work from home,PythonMachine LearningNatural Language Processing (NLP)Deep Learning
1.0,Technical Support,Tech Analogy,Ahmedabad,MATLABOpenCVSolidWorksClient InteractionMachine LearningTechnical SupportClient Relationship+4 more
2.0,Data Annotation,RoadVision AI Private Limited,South,Data InterpretationData Annotation
3.0,Data Science,Zoop Live,Delhi,PythonMachine LearningData ScienceNatural Language Processing (NLP)Deep LearningArtificial intelligenceNumPy+1 more
4.0,Data Science,Tradexa Technologies Private Limited,Pune,PythonSQLAlgorithmsData StructuresData AnalyticsStatistical ModelingGit+2 more
5.0,Data Science,Emoolar Technology Private Limited,Work from home,PythonMachine LearningData ScienceArtificial intelligence
6.0,Agentic RAG Tools And Applications Development,FrugalX (Frugal Explorations Foundation),Work from home,JavaScriptTypeScript
7.0,Data Science,Mindenious Edutech,Work from home,PythonSQLData AnalyticsMachine LearningData ScienceDeep Learning
8.0,Artificial Intelligence For Biotech For Climate (A4B4C),Energy Alternatives India,Chennai,BiologyMachine LearningBioinformaticsMicrobiological TechniquesNeural NetworksBusiness ResearchArtificial intelligence+1 more
9.0,Full Stack Development,NDL Power Limited,Work from home,PythonASP.NETMachine LearningNode.jsMS SQL ServerAutomationReact+5 more
11.0,Data Science,"Mekari (Jakarta, Indonesia)",Work from home,PythonSQLData AnalyticsMachine LearningData entryData ScienceNatural Language Processing (NLP)+4 more
12.0,Devops Engineer,Techdome Solutions Private Limited,"Indore, Hyderabad",LinuxMachine LearningJenkinsAnsibleKubernetesCI/CDTerraform+3 more
13.0,"Producers Assistant Residency Program: Founders Office - Research, Development And Operations (Hollywood Film)",Continuum Media,Mumbai,MS-OfficeContent WritingPythonAdobe IllustratorSQLAdobe Creative SuiteMachine Learning+7 more
14.0,Technical Content Curation,Tech Analogy,Ahmedabad,Content WritingOpenCVPythonSolidWorksARM MicrocontrollerRoboticsSearch Engine Optimization (SEO)+9 more
15.0,Android App Development,Practice Buzz,Chandigarh,PythonGitMachine LearningJSONGitHubComputer VisionREST API+4 more
16.0,Python Development,Jorim Technology Solutions Private Limited,Chennai (Hybrid),PythonDjangoMachine LearningREST APIFlask
17.0,Machine Learning,Zdminds,Work from home,PythonData AnalyticsMachine LearningR ProgrammingData ScienceNatural Language Processing (NLP)Deep Learning+1 more
18.0,Machine Learning,CareerNest,Work from home,PythonMachine LearningData Science
19.0,Python Development,Zdminds,Work from home,HTMLCSSPythonDjangoMachine LearningREST APIFlask
20.0,Data Analytics,Zdminds,Work from home,PythonSQLData AnalyticsMS-ExcelData SciencePower BITableau
21.0,AI Agent Development,On Demand Experts,Work from home,PythonLLMOpsLLM evaluation
22.0,Data Science,CareerNest,Work from home,PythonData AnalyticsMachine LearningData ScienceNatural Language Processing (NLP)Deep LearningArtificial intelligence
23.0,Python Development,Treviax.in,Work from home,HTMLCSSPythonDjangoMachine LearningREST APIFlask
24.0,Machine Learning,Treviax.in,Work from home,PythonData AnalyticsMachine LearningData ScienceNatural Language Processing (NLP)Deep LearningArtificial intelligence
25.0,Data Science,Zdminds,Work from home,PythonSQLData AnalyticsMachine LearningData ScienceNatural Language Processing (NLP)
26.0,Artificial Intelligence (AI),Zdminds,Work from home,PythonData StructuresMachine LearningData ScienceNeural NetworksNatural Language Processing (NLP)Deep Learning
27.0,Python Development,Mindenious Edutech,Work from home,HTMLCSSPythonMachine Learning
28.0,Artificial Intelligence (AI),Stirring Minds,"Delhi, Gurgaon, Noida                                                                (Hybrid)",PythonData StructuresMachine LearningData ScienceNeural NetworksNatural Language Processing (NLP)Deep Learning+3 more
29.0,AI Engineer,Clientcarex AI Private Limited,Hyderabad,Problem SolvingResearch and AnalyticsReport GenerationSelf-learningGenerative AI ToolsChatGPT
30.0,AI For Climate Tech,Energy Alternatives India,Chennai,BiologyMachine LearningBioinformaticsMicrobiological TechniquesNeural NetworksBusiness ResearchArtificial intelligence+1 more
31.0,Instructional Designer,Kalvium,Bangalore,Data StructuresMachine LearningData ScienceComputer ArchitectureOperating SystemsCybersecurityGenerative AI Tools
32.0,Artificial Intelligence (AI),Zoxima Solutions Private Limited,Work from home,Artificial intelligenceLangChain
33.0,Machine Learning,Vaibhav Wakade,"Pune, Ahmednagar, Nashik (Hybrid)",JavaScriptPythonData AnalyticsAutomationNatural Language Processing (NLP)Deep LearningBlockchain+5 more
34.0,Artificial Intelligence (AI),Across The Globe (ATG),Work from home,PythonData StructuresMachine LearningComputer VisionData ScienceNeural NetworksNatural Language Processing (NLP)+2 more
35.0,AI Engineer,Entrepreneur Growth Lab (OPC) Private Limited,Work from home,JavaJavaScriptPythonAlgorithmsMachine LearningAutomationREST API+4 more
36.0,AI/ML Python,Tellis Technologies Private Limited,Work from home,JavaScriptPythonMachine LearningArtificial intelligenceMERN
37.0,Artificial Intelligence (AI),Stirring Minds,Work from home,PythonSQLData StructuresMachine LearningData ScienceNeural NetworksRTOS+7 more
38.0,Software Engineering- AI Agent Integration Team,EmergentLabs,Bangalore,PythonProblem SolvingArtificial intelligenceAPIsDebuggingPrompt Engineering
39.0,Python Development,Scoreazy Edutech Private Limited,Work from home,PythonREST APIFastAPIOpenAI APIStreamlitPrompt Engineering
40.0,Quant Developer,QuantGlobal,"Delhi, Noida",PythonFinanceMongoDBMachine LearningFinancial ModelingStatisticsC++ Programming+7 more
